text,label
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
A card payment on my account is shown as pending.

### Response:
pending_card_payment<|end_of_text|>",45
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I can't seem to make a standard bank transfer. I have tried at least five times already but none of them are going through. Please tell me what is wrong?

### Response:
failed_transfer<|end_of_text|>",35
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How come I was charged a transaction of $1?

### Response:
extra_charge_on_statement<|end_of_text|>",34
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
The app is not able to realize that it is me.

### Response:
unable_to_verify_identity<|end_of_text|>",68
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I'm in China and really need a new card.

### Response:
card_about_to_expire<|end_of_text|>",9
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What can you use the disposable cards for?

### Response:
get_disposable_virtual_card<|end_of_text|>",37
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
am afraid someone may have gained access to the info on my card.

### Response:
compromised_card<|end_of_text|>",22
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
My disposable virtual card got rejected

### Response:
virtual_card_not_working<|end_of_text|>",72
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Why won't my card work.

### Response:
card_not_working<|end_of_text|>",14
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What is this fee debit on my account?

### Response:
extra_charge_on_statement<|end_of_text|>",34
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Will my new card work outside of the EU?

### Response:
country_support<|end_of_text|>",24
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I don't think that my top-up worked.

### Response:
top_up_failed<|end_of_text|>",59
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Where is the card I ordered 2 weeks ago?

### Response:
card_arrival<|end_of_text|>",11
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can you tell me where I can order a disposable virtual card?

### Response:
get_disposable_virtual_card<|end_of_text|>",37
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How can I change my password?

### Response:
passcode_forgotten<|end_of_text|>",44
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I think my card is lost.  What do I do?

### Response:
lost_or_stolen_card<|end_of_text|>",41
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Would you be able to offer me a discount, since I need to exchange currencies frequently?

### Response:
exchange_charge<|end_of_text|>",31
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How many currencies can I have?

### Response:
fiat_currency_support<|end_of_text|>",36
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How do I receive a virtual card?

### Response:
getting_virtual_card<|end_of_text|>",40
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
There's an error with the rate that is charged.

### Response:
card_payment_wrong_exchange_rate<|end_of_text|>",17
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I want to transfer a sum of money from another bank account I have into this one

### Response:
transfer_into_account<|end_of_text|>",65
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can friends transfer money to each other?

### Response:
receiving_money<|end_of_text|>",50
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What should I do with my stuck ATM?

### Response:
card_swallowed<|end_of_text|>",18
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Won't let me top my card up!! Who can get it sorted out for me? It's urgent! How do I find out what the problem is with my card and how else to top it up?

### Response:
top_up_failed<|end_of_text|>",59
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
my top up isnt there yet where do i find it

### Response:
topping_up_by_card<|end_of_text|>",62
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
my transfer isn't there

### Response:
balance_not_updated_after_bank_transfer<|end_of_text|>",5
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can you tell me the status of my new card?

### Response:
lost_or_stolen_card<|end_of_text|>",41
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I blocked my card by mistake, how do I unblock it?

### Response:
pin_blocked<|end_of_text|>",49
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I have a new card and need to activate it

### Response:
activate_my_card<|end_of_text|>",0
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What are the policies of disposable cards?

### Response:
disposable_card_limits<|end_of_text|>",29
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What is taking so long with my top up?

### Response:
pending_top_up<|end_of_text|>",47
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I recently transferred some cash, but the balance has not changed.

### Response:
balance_not_updated_after_bank_transfer<|end_of_text|>",5
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can you tell me how to change my PIN?

### Response:
change_pin<|end_of_text|>",21
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
can i top up with check?

### Response:
top_up_by_cash_or_cheque<|end_of_text|>",58
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I make payments for my place abroad using this account and since i use it so frequently I was wondering why did the fees increase suddenly rather than decreasing? I would think customers like me should receive incentives for using your service

### Response:
transfer_fee_charged<|end_of_text|>",64
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I got charged fees for withdrawing cash!

### Response:
cash_withdrawal_charge<|end_of_text|>",19
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make.

### Response:
pending_cash_withdrawal<|end_of_text|>",46
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I was not able to use the ATM to get cash

### Response:
declined_cash_withdrawal<|end_of_text|>",26
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
My app was on the phone and I was mugged.  What do I do?

### Response:
lost_or_stolen_phone<|end_of_text|>",42
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Do I need to do anything special for my friend to send money to my account?

### Response:
receiving_money<|end_of_text|>",50
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How can I transfer money to this account from another bank?

### Response:
transfer_into_account<|end_of_text|>",65
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Where are you getting your exchange rates from?

### Response:
exchange_rate<|end_of_text|>",32
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can I get a full list of instructions for identity checks?

### Response:
verify_my_identity<|end_of_text|>",69
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I transferred money and it didn't get there.

### Response:
transfer_not_received_by_recipient<|end_of_text|>",66
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How come when I tried to pay contactless at the bus it didnt work?

### Response:
contactless_not_working<|end_of_text|>",23
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
can i deposit a check here?

### Response:
top_up_by_cash_or_cheque<|end_of_text|>",58
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.

### Response:
get_disposable_virtual_card<|end_of_text|>",37
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I don't understand where this charge came from.

### Response:
card_payment_not_recognised<|end_of_text|>",16
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How does your app transfer the money

### Response:
transfer_into_account<|end_of_text|>",65
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can cards be dispatched on a specific date?

### Response:
card_delivery_estimate<|end_of_text|>",12
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I'm still expecting the transaction to be finished

### Response:
transfer_not_received_by_recipient<|end_of_text|>",66
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I just went through a old statement and noticed that a very large payment went through and i did not make it. It was from a few months ago, can I still dispute the payment?

### Response:
direct_debit_payment_not_recognised<|end_of_text|>",28
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How old do kids have to be to open an account?

### Response:
age_limit<|end_of_text|>",1
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Top up is not working even though I have my AMEX in apple pay.

### Response:
apple_pay_or_google_pay<|end_of_text|>",2
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?

### Response:
balance_not_updated_after_cheque_or_cash_deposit<|end_of_text|>",6
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
This fee shouldn't be there after I paid with a card.

### Response:
card_payment_fee_charged<|end_of_text|>",15
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I tried to buy something online but my funds were transferred back to my account. What is happening?

### Response:
reverted_card_payment?<|end_of_text|>",53
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I only got $20 of the $100 that I attempted to withdraw.

### Response:
wrong_amount_of_cash_received<|end_of_text|>",75
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I can't figure out how to transfer money into my account.

### Response:
transfer_into_account<|end_of_text|>",65
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Why am I getting charged more for using my card?

### Response:
card_payment_fee_charged<|end_of_text|>",15
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on?

### Response:
failed_transfer<|end_of_text|>",35
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How come I got blocked for entering wrong pins?

### Response:
pin_blocked<|end_of_text|>",49
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can I use as many top-ups as I want?

### Response:
top_up_limits<|end_of_text|>",60
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Why did my top-up get reverted?

### Response:
top_up_reverted<|end_of_text|>",61
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Can I use this app for any currency?

### Response:
supported_cards_and_currencies<|end_of_text|>",54
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
A debit came through that I need to dispute.

### Response:
direct_debit_payment_not_recognised<|end_of_text|>",28
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What is the significance of verifying the top-up?

### Response:
verify_top_up<|end_of_text|>",71
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Why didn't my top up work?

### Response:
top_up_reverted<|end_of_text|>",61
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
What are the currency exchange fees?

### Response:
exchange_charge<|end_of_text|>",31
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
Is it possible for a person who lives in the US to get a card?

### Response:
country_support<|end_of_text|>",24
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
There was an extra charge when I used my card

### Response:
card_payment_fee_charged<|end_of_text|>",15
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
How do I find the refund on my statement?

### Response:
Refund_not_showing_up<|end_of_text|>",51
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I am having a huge problem with my card being declined and it's really important that I top-up today.  Would you please look into this further and let me know how I can get this fixed?

### Response:
top_up_failed<|end_of_text|>",59
"### Instruction:
Classify the intent of the following banking query. Return only the intent label.

### Input:
I can't get the virtual card to work

### Response:
virtual_card_not_working<|end_of_text|>",72
